wall_time_sec,trajectory_id,publish_target_time,local_slam_reference_time,imu_integration_start_time,latest_imu_time,has_imu_data,reference_odom_request_time,reference_odom_before_time,reference_odom_after_time,reference_odom_latest_time,reference_odom_extrapolated,reference_odom_clamped_to_earliest,current_odom_request_time,current_odom_before_time,current_odom_after_time,current_odom_latest_time,current_odom_extrapolated,current_odom_clamped_to_earliest,tracked_pose_stamp,tracked_pose_x,tracked_pose_y,tracked_pose_yaw,adaptive_odometry_weight
1779099299.000528812,1,1779099299.000528812,1779099298.863153696,1779099298.863153696,1779099298.932987452,1,1779099298.863153696,1779099298.826838017,1779099298.871748447,1779099298.891774178,0,0,1779099299.000528812,1779099298.891774178,,1779099298.891774178,1,0,1779099299.000529051,2.952822072,3.322573978,2.667260396,0.000000000
1779099299.050523281,1,1779099299.050523281,1779099298.913127422,1779099298.913127422,1779099298.982987404,1,1779099298.913127422,1779099298.911632299,1779099298.931865931,1779099298.931865931,0,0,1779099299.050523281,1779099298.931865931,,1779099298.931865931,1,0,1779099299.050523520,2.934886469,3.352500373,2.637437318,0.000000000
1779099299.100462675,1,1779099299.100462675,1779099298.963134289,1779099298.963134289,1779099299.032987595,1,1779099298.963134289,1779099298.931865931,1779099298.971902609,1779099298.991848707,0,0,1779099299.100462675,1779099298.991848707,,1779099298.991848707,1,0,1779099299.100462675,2.915678807,3.370017648,2.608686931,0.000000000
1779099299.150571346,1,1779099299.150571346,1779099299.013047457,1779099299.013047457,1779099299.082987547,1,1779099299.013047457,1779099299.011873245,1779099299.031708956,1779099299.031708956,0,0,1779099299.150571346,1779099299.031708956,,1779099299.031708956,1,0,1779099299.150571346,2.899181660,3.395901468,2.577299478,0.000000000
1779099299.200473070,1,1779099299.200473070,1779099299.063131332,1779099299.063131332,1779099299.132987499,1,1779099299.063131332,1779099299.031708956,1779099299.071909904,1779099299.091740370,0,0,1779099299.200473070,1779099299.091740370,,1779099299.091740370,1,0,1779099299.200473309,2.881905642,3.409372263,2.546630227,0.000000000
1779099299.250484943,1,1779099299.250484943,1779099299.143142223,1779099299.143142223,1779099299.182987452,1,1779099299.143142223,1779099299.131734848,1779099299.151656628,1779099299.151656628,0,0,1779099299.250484943,1779099299.151656628,,1779099299.151656628,1,0,1779099299.250484943,2.867268673,3.439580408,2.497715191,0.000000000
1779099299.300465584,1,1779099299.300465822,1779099299.163143396,1779099299.163143396,1779099299.232987642,1,1779099299.163143396,1779099299.151656628,1779099299.171655655,1779099299.191828251,0,0,1779099299.300465822,1779099299.191828251,,1779099299.191828251,1,0,1779099299.300465822,2.851732528,3.468255220,2.481163145,0.000000000
1779099299.350534201,1,1779099299.350534201,1779099299.243149042,1779099299.243149042,1779099299.282987595,1,1779099299.243149042,1779099299.232328653,1779099299.251847267,1779099299.251847267,0,0,1779099299.350534201,1779099299.251847267,,1779099299.251847267,1,0,1779099299.350534201,2.826158419,3.505932968,2.430130074,0.000000000
1779099299.400557041,1,1779099299.400557041,1779099299.263133526,1779099299.263133526,1779099299.332987309,1,1779099299.263133526,1779099299.251847267,1779099299.271855831,1779099299.291660547,0,0,1779099299.400557041,1779099299.291660547,,1779099299.291660547,1,0,1779099299.400557041,2.809376040,3.555585786,2.411885736,0.000000000
1779099299.450475931,1,1779099299.450475931,1779099299.343139648,1779099299.343139648,1779099299.392987490,1,1779099299.343139648,1779099299.331681013,1779099299.351805687,1779099299.351805687,0,0,1779099299.450475931,1779099299.351805687,,1779099299.351805687,1,0,1779099299.450475931,2.792279824,3.563811824,2.349088204,0.000000000
1779099299.475471258,1,1779099299.475471735,1779099299.363124847,1779099299.363124847,1779099299.432987452,1,1779099299.363124847,1779099299.351805687,1779099299.371840000,1779099299.391648531,0,0,1779099299.475471735,1779099299.391648531,,1779099299.391648531,1,0,1779099299.475471497,2.779578021,3.598453110,2.327567864,0.000000000
1779099299.550471306,1,1779099299.550471306,1779099299.413163424,1779099299.413163424,1779099299.482987404,1,1779099299.413163424,1779099299.411947966,1779099299.431784391,1779099299.431784391,0,0,1779099299.550471306,1779099299.431784391,,1779099299.431784391,1,0,1779099299.550471306,2.746032442,3.667809871,2.281056031,0.000000000
1779099299.600474596,1,1779099299.600474596,1779099299.513160944,1779099299.513160944,1779099299.542987585,1,1779099299.513160944,1779099299.511881828,1779099299.531655312,1779099299.531655312,0,0,1779099299.600474596,1779099299.531655312,,1779099299.531655312,1,0,1779099299.600474596,2.720876460,3.734176759,2.179290927,0.000000000
1779099299.650517941,1,1779099299.650517941,1779099299.563135147,1779099299.563135147,1779099299.582987547,1,1779099299.563135147,1779099299.551821709,1779099299.571865559,1779099299.571865559,0,0,1779099299.650517941,1779099299.571865559,,1779099299.571865559,1,0,1779099299.650518179,2.702248601,3.800507557,2.124318459,0.000000000
